Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
CG Greenidge (WI),1975-1983,15,15,2,591,106*,45.46,999,59.15,2,4,-0,44+,5+
Saleem Malik (PAK),1987-1999,27,23,5,591,100,32.83,715,82.65,1,4,2,52,0
DM Jones (AUS),1987-1992,16,16,2,590,90,42.14,811,72.74,-0,5,-0,27,12
GR Marsh (AUS),1987-1992,13,13,1,579,126*,48.25,987,58.66,2,2,-0,43,5
KP Pietersen (ENG),2007-2011,13,13,1,575,104,47.91,684,84.06,2,4,-0,53,7
EC Joyce (ENG/IRE),2007-2015,17,17,0,574,112,33.76,735,78.09,1,4,2,55,7
AC Hudson (SA),1992-1996,12,12,0,571,161,47.58,738,77.37,1,4,-0,64,4
DL Houghton (ZIM),1983-1992,20,19,0,567,142,29.84,900,63,1,4,3,47,8
CL Cairns (NZ),1992-2003,28,24,7,565,60,33.23,684,82.6,-0,3,1,41,16
SM Gavaskar (IND),1975-1987,19,19,3,561,103*,35.06,978,57.36,1,4,1,60+,4+
JC Buttler (ENG),2015-2023,22,19,1,548,103,30.44,441,124.26,1,3,-0,46,14
KL Rahul (IND),2019-2023,14,13,4,538,111,59.77,679,79.23,1,3,1,47,8
S Dhawan (IND),2015-2019,10,10,0,537,137,53.7,570,94.21,3,1,-0,65,9
MG Bevan (AUS),1996-2003,26,18,6,537,74*,44.75,834,64.38,-0,5,1,35,5
AD Mathews (SL),2011-2023,23,17,3,533,113,38.07,621,85.82,1,2,3,41,12
HE van der Dussen (SA),2019-2023,15,12,1,531,108,48.27,598,88.79,1,4,-0,37,12
A Jadeja (IND),1992-1999,21,18,3,522,100*,34.8,727,71.8,1,2,1,39,9
MS Atapattu (SL),1999-2003,15,15,3,521,124,43.41,657,79.29,2,3,1,62,0
K Srikkanth (IND),1983-1992,23,23,1,521,75,23.68,762,68.37,-0,2,4,62+,4+
Ijaz Ahmed (PAK),1987-1999,29,26,4,516,70,23.45,717,71.96,-0,4,5,40,5
A Symonds (AUS),2003-2007,18,13,8,515,143*,103,552,93.29,1,3,1,51,10
BA Stokes (ENG),2019-2023,13,12,3,513,89,57,580,88.44,-0,5,-0,45,11
GW Flower (ZIM),1996-2003,21,20,2,512,78*,28.44,895,57.2,-0,1,-0,44+,2+
CD McMillan (NZ),1999-2007,25,24,2,506,75,23,719,70.37,-0,2,1,43,12
RD Shah (KENYA),1999-2007,17,17,0,500,71,29.41,820,60.97,-0,4,1,60,2
KJ O'Brien (IRE),2007-2015,20,20,2,499,113,27.72,552,90.39,1,1,1,48,17
AK Markram (SA),2019-2023,14,12,0,496,106,41.33,493,100.6,1,3,-0,56,8
RG Twose (NZ),1996-1999,15,15,5,493,92,49.3,663,74.35,-0,4,1,41,4
JG Wright (NZ),1979-1992,18,18,0,493,69,27.38,862,57.19,-0,3,2,49+,2+
SC Williams (ZIM),2007-2015,11,11,2,492,96,54.66,486,101.23,-0,5,-0,42,8
AP Gurusinha (SL),1987-1996,18,17,0,488,87,28.7,789,61.85,-0,3,1,34,13
Mohammad Hafeez (PAK),2007-2019,18,18,1,483,84,28.41,584,82.7,-0,2,-0,57,6
AC Waller (ZIM),1987-1996,20,20,3,479,83*,28.17,664,72.13,-0,2,1,45,7
WJ Cronje (SA),1992-1999,23,20,4,476,78,29.75,591,80.54,-0,2,2,33,8
PD Collingwood (ENG),2003-2011,18,18,6,474,90,39.5,604,78.47,-0,3,-0,37,6
DJ Cullinan (SA),1996-1999,15,15,3,471,69,39.25,696,67.67,-0,3,1,37,6
Imam-ul-Haq (PAK),2019-2023,14,14,0,467,100,33.35,580,80.51,1,2,-0,54,1
TM Odoyo (KENYA),1996-2011,25,23,4,463,51,24.36,680,68.08,-0,1,3,46,10
MN Samuels (WI),2003-2015,16,16,2,460,133*,32.85,600,76.66,1,2,1,42,12
BJ Haddin (AUS),2011-2015,15,11,2,458,88,50.88,501,91.41,-0,4,-0,56,9
JP Duminy (SA),2011-2019,18,16,3,458,115*,35.23,461,99.34,1,1,1,31,9
NS Sidhu (IND),1987-1996,12,10,0,454,93,45.4,576,78.81,-0,6,-0,31,10
MO Odumbe (KENYA),1996-2003,19,18,3,452,82,30.13,618,73.13,-0,3,2,35,2
AR Border (AUS),1979-1992,25,24,0,452,67,18.83,640,70.62,-0,1,2,39,0
HDRL Thirimanne (SL),2015-2019,12,12,2,445,139*,44.5,519,85.74,1,3,1,40,2
JJ Roy (ENG),2019-2019,8,7,0,443,153,63.28,384,115.36,1,4,-0,51,12
MW Gatting (ENG),1983-1987,15,13,2,437,60,39.72,502,87.05,-0,3,-0,31,2
RN ten Doeschate (NED),2007-2011,9,9,2,435,119,62.14,492,88.41,2,3,-0,47,7
DI Gower (ENG),1979-1983,12,11,3,434,130,54.25,527,82.35,1,1,1,42,9
CZ Harris (NZ),1992-2003,28,20,5,431,130,28.73,626,68.84,1,-0,-0,30,4
NH Fairbrother (ENG),1992-1999,19,15,5,430,75*,43,676,63.6,-0,3,-0,22,2
LPC Silva (SL),2007-2011,18,14,2,427,64,35.58,562,75.97,-0,5,-0,36,4
KO Otieno (KENYA),1996-2003,20,19,0,427,85,22.47,818,52.2,-0,4,3,40,6
Wasim Akram (PAK),1987-2003,38,30,8,426,43,19.36,421,101.18,-0,-0,3,36,11
IJL Trott (ENG),2011-2011,7,7,0,422,92,60.28,522,80.84,-0,5,-0,28,0
AJ Strauss (ENG),2007-2011,11,11,0,417,158,37.9,483,86.33,1,1,1,39,5
KR Rutherford (NZ),1987-1992,14,12,2,416,75,41.6,587,70.86,-0,4,-0,36,7
AH Jones (NZ),1987-1992,13,13,2,416,78,37.81,673,61.81,-0,4,1,44,0
LRD Mendis (SL),1975-1987,16,16,2,412,64,29.42,591,69.71,-0,3,1,37,4
PN Kirsten (SA),1992-1992,8,8,2,410,90,68.33,616,66.55,-0,4,-0,28,2
R Ravindra (NZ),2023-2023,6,6,1,406,123*,81.2,377,107.69,2,2,-0,33,13
KC Wessels (AUS/SA),1983-1992,12,12,2,405,85,40.5,751,53.92,-0,4,-0,31,0
Umar Akmal (PAK),2011-2015,14,13,2,404,71,36.72,480,84.16,-0,2,1,38,7
Rahmat Shah (AFG),2019-2023,14,14,1,404,77*,31.07,591,68.35,-0,2,1,41,3
NJ Astle (NZ),1996-2003,22,22,2,403,102*,20.15,572,70.45,2,1,5,43,2
DS Smith (WI),2007-2011,10,10,0,399,107,39.9,536,74.44,1,3,-0,42,2
MDKJ Perera (SL),2015-2023,14,14,0,394,78,28.14,383,102.87,-0,4,1,49,3
G Gambhir (IND),2011-2011,9,9,0,393,97,43.66,462,85.06,-0,4,-0,37,0
CH Lloyd (WI),1975-1983,17,11,2,393,102,43.66,463,84.88,1,2,-0,34+,3+
CR Ervine (ZIM),2011-2015,12,12,0,390,85,32.5,449,86.85,-0,4,1,36,8
